stop_id,stop_long,stop_lat,stop_name
256,26.09212,44.38637,DRUMUL GAZARULUI
257,26.092281,44.382394,CIMITIRUL EVREIESC
2915,26.091745,44.378999,LUICA
991,26.090987,44.37615,ANGHEL NUTU
382,26.090214,44.373391,CAP. RADUCANU CRISTEA
383,26.088961,44.369234,C.F.R. PROGRESUL
893,26.039317,44.427894,SERGENT MOISE
2385,26.048207,44.428285,SIBIU
2386,26.054046,44.428638,BD. VASILE MILEA
476,26.077691,44.415258,SOSEAUA PROGRESULUI
97,26.073705,44.413172,CALEA FERENTARI
307,26.077816,44.408446,SOSEAUA SALAJ
308,26.079567,44.406349,CIBINULUI
309,26.081569,44.403202,ARMISTITIULUI
1345,26.083853,44.400866,SULITEI
310,26.084868,44.398137,PIATA FERENTARI
556,26.082716,44.393057,VADUL NOU
557,26.080662,44.390053,VALTOAREI
558,26.077701,44.386562,ZETARILOR
4486,,,ZETARILOR
560,26.080989,44.390519,VALTOAREI
561,26.082661,44.392929,VADUL NOU
280,26.084776,44.398615,PIATA FERENTARI
1343,26.083564,44.401165,SULITEI
281,26.081821,44.403058,ARMISTITIULUI
282,26.079863,44.405966,CIBINULUI
283,26.078184,44.408084,SOSEAUA SALAJ
52,26.074281,44.413462,CALEA FERENTARI
585,26.048841,44.428355,SIBIU
2387,26.040518,44.428021,SERGENT MOISE
885,26.031968,44.427303,BRASOV
3305,26.027564,44.42696,COMPASULUI
2344,26.024905,44.426803,ROMANCIERILOR
2345,26.017577,44.426194,FRIGOCOM
2346,26.012215,44.424761,VALEA OLTULUI
3513,26.005081,44.424193,RADOX
4324,25.999704,44.423677,VALEA CASCADELOR
2349,26.001552,44.428226,C.F.R. COTROCENI
413,26.002801,44.4317,CESAROM
415,25.992646,44.430804,URBIS
417,25.987702,44.430456,S.C. VEST
418,25.98301,44.430044,INSCUT
419,25.976398,44.429565,DEPOUL MILITARI
263,26.081004,44.383959,BACIULUI
264,26.084518,44.381677,CIMITIRUL PROGRESUL
265,26.091357,44.37887,SOSEAUA GIURGIULUI
2311,26.061802,44.447177,CALEA PLEVNEI
66,26.061454,44.449816,SPITALUL PANAIT SARBU
67,26.057058,44.454384,PASAJ GRANT
68,26.055465,44.4564,CIMITIRUL CALVIN
69,26.047265,44.460395,GEORGE VALSAN
70,26.041802,44.463211,BD. CONSTRUCTORILOR
71,26.038903,44.464777,GODENI
72,26.035509,44.466272,PIATA GIULESTI
73,26.031705,44.467464,COPSA MICA
74,26.0289,44.468336,INSTITUTUL PASTEUR
1311,26.025622,44.469333,DEPOUL GIULESTI
75,26.021761,44.470215,CARTIER 16 FEBRUARIE
4025,26.10735,44.430017,PIATA SF. VINERI
1314,26.02544,44.469365,DEPOUL GIULESTI
77,26.028666,44.468386,INSTITUTUL PASTEUR
78,26.031342,44.467555,COPSA MICA
79,26.035236,44.466341,PIATA GIULESTI
80,26.038614,44.464905,GODENI
81,26.042137,44.462984,BD. CONSTRUCTORILOR
82,26.047034,44.46047,GEORGE VALSAN
83,26.0554,44.456445,CIMITIRUL CALVIN
84,26.056956,44.454466,PASAJ GRANT
85,26.061336,44.449848,SPITALUL PANAIT SARBU
4258,,,CALEA PLEVNEI
479,26.113135,44.446579,MIHAI EMINESCU
559,26.077758,44.386364,ZETARILOR
404,26.081615,44.417477,PIATA CHIRIGIU
460,26.095033,44.423818,11 IUNIE
2364,26.096665,44.418826,PARCUL CAROL I
2366,26.108662,44.422661,PASAJ MARASESTI
502,26.131235,44.421793,DEPOUL DUDESTI
45,26.140873,44.419147,DRISTORULUI
440,26.113679,44.432952,ALEXANDRU SIHLEANU
3650,26.120552,44.433072,HALA TRAIAN
442,26.12022,44.43854,BD. PACHE PROTOPOPESCU
467,26.124235,44.441602,HOREI
468,26.130404,44.444298,SOSEAUA MIHAI BRAVU
13,26.13441,44.446064,SOSEAUA PANTELIMON
994,26.141019,44.444469,CIMITIRUL ARMENESC
469,26.149212,44.44363,SOSEAUA IANCULUI
449,26.157019,44.442914,BD. CHISINAU
2383,26.158384,44.438507,PICTOR HARLESCU
2384,26.159943,44.435147,BD. BASARABIA
566,26.164204,44.436075,BAIA DE ARAMA
567,,,LUCRETIU PATRASCANU
890,26.172637,44.436381,BD. 1 DECEMBRIE 1918
2985,26.172636,44.432332,BARAJUL IEZERU
2986,26.173386,44.430139,BARAJUL ROVINARI
3044,26.179024,44.426424,FAUR POARTA 4
2375,26.179586,44.426974,FAUR POARTA 4
2825,26.116036,44.448803,TOAMNEI
53,26.079181,44.416034,SOSEAUA PROGRESULUI
430,26.091483,44.421972,PIATA REGINA MARIA
475,26.095541,44.421136,GRAMONT
2365,26.103601,44.421063,BD. DIMITRIE CANTEMIR
2422,26.118231,44.423925,NERVA TRAIAN
501,26.126688,44.423548,POLICLINICA VITAN
3117,26.137654,44.419972,SOSEAUA MIHAI BRAVU
4322,26.146001,44.41781,PIATA RAMNICU SARAT
1822,26.154279,44.414482,FIZICIENILOR
3032,26.164885,44.412851,PIATA TITAN
1817,26.149936,44.416279,VOLUNTARILOR
1821,26.158453,44.413499,ILIOARA
2161,26.169013,44.411677,DUMBRAVA NOUA
1225,26.10985,44.442617,MARIA ROSETTI
207,26.108545,44.440423,BATISTEI
208,26.110089,44.43711,BD. CAROL I
2343,26.107639,44.434338,HRISTO BOTEV
2929,26.105534,44.432928,PIATA SF. GHEORGHE
510,26.172974,44.410813,BD. 1 DECEMBRIE 1918
511,26.17771,44.410085,OZANA
512,26.183106,44.409254,I.O.R. 2
513,26.189238,44.408304,STIROM
514,26.193443,44.407636,POLICOLOR
515,26.199542,44.406646,CHIMOPAR
516,26.202052,44.406244,COMPLEX RATB TITAN
578,26.050644,44.488298,CARTIER DAMAROAIA
522,26.198635,44.406819,CHIMOPAR
523,26.192805,44.40778,POLICOLOR
524,26.188566,44.408453,STIROM
525,26.182551,44.409383,I.O.R. 2
526,26.177207,44.410195,OZANA
527,,,BD. 1 DECEMBRIE 1918
2162,26.167781,44.412128,DUMBRAVA NOUA
3031,26.162513,44.413256,PIATA TITAN
1820,26.156908,44.413744,ILIOARA
1811,26.153663,44.414778,FIZICIENILOR
1814,26.14999,44.416274,VOLUNTARILOR
4323,26.145402,44.418005,PIATA RAMNICU SARAT
40,26.140126,44.419385,DRISTORULUI
534,26.136253,44.420186,SOSEAUA MIHAI BRAVU
535,26.131688,44.421623,DEPOUL DUDESTI
536,26.127183,44.423484,POLICLINICA VITAN
537,26.12223,44.424005,POSTA VITAN
579,26.046763,44.4874,IZBICENI
580,26.044008,44.485682,NEATARNARII
581,26.04108,44.483877,BD. BUCURESTII NOI
232,26.04279,44.480338,PAJUREI
233,26.045129,44.477366,DEPOUL BUCURESTII NOI
109,26.047853,44.473865,CARPATI
110,26.05146,44.471154,CLABUCET
544,26.058862,44.468834,AVIATOR POPISTEANU
545,26.065507,44.466084,PIATA DOMENII
546,26.07238,44.462314,BD. MARESAL AVERESCU
150,26.077654,44.458239,PIATA ION MIHALACHE
704,26.083815,44.452489,PIATA VICTORIEI
2930,26.082516,44.448358,PIATA BUZESTI
4367,26.081126,44.443258,MIRCEA VULCANESCU
4365,26.081497,44.4402,RADIO ROMANIA
4369,,,VASILE PARVAN
521,26.202777,44.406146,COMPLEX RATB TITAN
547,26.186222,44.433572,REPUBLICA
548,26.178861,44.435125,GRUP INDUSTRIAL TITAN
2367,26.108263,44.422559,PASAJ MARASESTI
2368,26.104268,44.421301,BD. DIMITRIE CANTEMIR
2369,26.095935,44.418687,PARCUL CAROL I
3740,26.183606,44.434341,FAUR
889,26.173274,44.436269,BD. 1 DECEMBRIE 1918
550,26.16444,44.436167,BAIA DE ARAMA
2379,26.158503,44.438241,PICTOR HARLESCU
454,26.150182,44.443569,SOSEAUA IANCULUI
455,26.134909,44.446058,BD. FERDINAND
878,26.127939,44.453351,SOSEAUA COLENTINA
176,26.121523,44.455262,MAICA DOMNULUI
481,26.119171,44.461629,BD. LACUL TEI
483,26.127365,44.466301,LACUL TEI
2177,26.175915,44.416916,POSTAVARULUI
549,26.167505,44.436841,SOSEAUA MORARILOR
551,26.160311,44.435012,BD. NICOLAE GRIGORESCU
387,26.157913,44.442936,BD. CHISINAU
995,26.143338,44.444335,BAICULUI
4050,26.131315,44.449145,PIATA OBOR
3254,,,TURMELOR
199,26.120059,44.458953,ALEXANDRU CEL BUN
482,26.125781,44.464211,TEIUL DOAMNEI
484,26.124711,44.471501,STRANDUL TEI
823,26.173713,44.414336,OFICIUL POSTAL 72
3509,,,LIVIU REBREANU
2982,26.173491,44.429956,BARAJUL ROVINARI
2984,26.172885,44.436072,BD. BASARABIA
4473,26.152871,44.433373,ARENA NATIONALA
554,26.139234,44.432164,PIATA HURMUZACHI
3043,26.178865,44.426976,FAUR POARTA 4
2983,26.172719,44.432184,BARAJUL IEZERU
553,26.147906,44.43294,PATINOAR
700,26.129953,44.431781,DELEA VECHE
3800,26.126504,44.452951,SOSEAUA COLENTINA
32,26.128871,44.451948,HALELE OBOR
4051,26.131205,44.449209,PIATA OBOR
33,26.134535,44.446332,BD. FERDINAND
3391,26.071835,44.476242,PIATA PRESEI
3393,26.07395,44.468241,CASIN
2393,26.066643,44.457235,PASAJ GRANT
2394,26.0471,44.452257,PIATA CRANGASI
76,26.02237,44.470094,CARTIER 16 FEBRUARIE
699,26.076329,44.448049,GARA DE NORD
702,26.082278,44.447507,PIATA BUZESTI
3683,26.080427,44.454285,DR. CONSTANTIN CARACAS
3041,26.125944,44.432333,UNIVERSITATEA HYPERION
431,26.121171,44.432993,HALA TRAIAN
3388,26.116189,44.433301,PIATA SF. STEFAN
395,26.110738,44.431993,PIATA CORNELIU COPOSU
4035,26.107414,44.429658,PIATA SF. VINERI
3392,26.072352,44.47153,AGRONOMIE
3400,26.07191,44.461591,BD. ION MIHALACHE
3014,26.05083,44.453532,SOSEAUA CRANGASI
2425,26.038193,44.445759,POD CIUREL
212,26.081284,44.445815,BUZESTI
703,26.084437,44.451695,PIATA VICTORIEI
4523,,,PIATA IANCULUI
448,26.149223,44.442977,BD. PIERRE DE COUBERTIN
464,26.095662,44.424288,11 IUNIE
3687,26.094912,44.419316,PARCUL CAROL I
1451,26.089017,44.412036,SOSEAUA VIILOR
463,26.129441,44.431899,DELEA VECHE
563,26.147102,44.432838,PATINOAR
565,26.159704,44.434821,BD. NICOLAE GRIGORESCU
568,26.178296,44.435217,GRUP INDUSTRIAL TITAN
446,26.140236,44.441998,LT. VICTOR MANU
2370,26.091122,44.414522,AUTOGARA FILARET
3042,26.12555,44.432358,UNIVERSITATEA HYPERION
562,26.137838,44.431922,PIATA HURMUZACHI
4474,26.153339,44.433374,ARENA NATIONALA
569,26.183222,44.434409,FAUR
3684,26.080385,44.453818,DR. CONSTANTIN CARACAS
2827,26.082092,44.44901,DR. FELIX
3306,26.185583,44.433867,REPUBLICA
