linie,statie,cod_statie,conexiune_linii,directie
4_3,LUICA,2914,"4,  7, 25,",up
4_4,CIMITIRUL PROGRESUL,259,"4, 11,",up
4_5,BACIULUI,260,"4, 11,",up
4_6,ZETARILOR,3028,"4, 11,",up
4_0,ZETARILOR,4486,"4, 11,",down
4_1,BACIULUI,263,"4, 11,",down
4_2,CIMITIRUL PROGRESUL,264,"4, 11,",down
4_3,SOSEAUA GIURGIULUI,265,"4, 11,",down
4_4,ANGHEL NUTU,991,"4,  7, 25,",down
4_5,CAP. RADUCANU CRISTEA,382,"4,  7, 25,",down
4_6,C.F.R. PROGRESUL,383,"4,  7, 25,",down
5_0,PIATA SF. GHEORGHE,185,"5, 16, 21,",up
5_1,HRISTO BOTEV,3001,"5, 16, 21,",up
5_2,BD. CAROL I,186,"5, 16,",up
5_3,BATISTEI,187,"5, 16,",up
5_4,MARIA ROSETTI,1226,"5, 16,",up
5_5,PIATA GEMENI,188,"5, 16,",up
5_6,TEATRUL METROPOLIS,2319,"5,",up
5_7,SOSEAUA STEFAN CEL MARE,190,"5,",up
5_8,BD. LACUL TEI,2320,"5,",up
5_9,ROSSINI,2321,"5,",up
5_10,CEAIKOVSKI,2322,"5,",up
5_11,GIUSEPPE VERDI,2323,"5,",up
5_12,MUZEUL AVIATIEI,2324,"5,",up
5_13,SOSEAUA PIPERA,2916,"5,",up
5_14,MAGURICEA,2326,"5,",up
5_15,PASAJ BANEASA,2327,"5,",up
5_16,APICOLA,2328,"5,",up
5_17,PIATA BANEASA,3756,"5,",up
5_0,PIATA BANEASA,3757,"5,",down
5_1,APICOLA,2331,"5,",down
5_2,PASAJ BANEASA,2332,"5,",down
5_3,MAGURICEA,2333,"5,",down
5_4,SOSEAUA PIPERA,2334,"5,",down
5_5,MUZEUL AVIATIEI,2335,"5,",down
5_6,GIUSEPPE VERDI,2336,"5,",down
5_7,CEAIKOVSKI,2337,"5,",down
5_8,ROSSINI,2338,"5,",down
5_9,BD. LACUL TEI,2339,"5,",down
5_10,SOSEAUA STEFAN CEL MARE,2340,"5,",down
5_11,TEATRUL METROPOLIS,2341,"5,135,",down
5_12,PIATA GEMENI,498,"5, 16,",down
5_13,MARIA ROSETTI,1225,"5, 16,",down
5_14,BATISTEI,207,"5, 16,",down
5_15,BD. CAROL I,208,"5, 16,",down
5_16,HRISTO BOTEV,2343,"5, 16, 21,",down
5_17,PIATA SF. GHEORGHE,2929,"5, 16, 21,",down
7_0,C.F.R. PROGRESUL,371,"4,  7, 25,",up
7_1,CAP. RADUCANU CRISTEA,372,"4,  7, 25,",up
7_2,ANGHEL NUTU,990,"4,  7, 25,",up
7_3,LUICA,2914,"4,  7, 25,",up
7_4,CIMITIRUL EVREIESC,266,"7, 11, 25,",up
7_5,DRUMUL GAZARULUI,267,"7, 11, 25,",up
7_6,TOPORASI,268,"7, 11, 25,",up
7_7,PIATA PROGRESUL,269,"7, 11, 25,",up
7_8,MUZEUL BACOVIA,270,"7, 11, 25,",up
7_9,SURA MARE,271,"1,  7, 11, 25,",up
7_10,PIATA EROII REVOLUTIEI,2358,"1, 7, 11, 25,",up
7_11,STEFAN HEPITES,300,"1, 7, 11, 25,",up
7_12,DR. CONSTANTIN ISTRATI,3100,"1, 7, 11, 25,",up
7_13,AUTOGARA FILARET,2363,"7, 47,",up
7_14,PARCUL CAROL I,3686,"7, 47,",up
7_15,GRAMONT,1409,"7, 23, 27, 47,",up
7_16,PATRIARHIA ROMANA,473,"7, 23, 27, 47,",up
7_17,PIATA UNIRII,472,"7, 27, 32, 47,",up
7_0,PIATA UNIRII,472,"7, 27, 32, 47,",down
7_1,11 IUNIE,464,"7, 27, 32, 47,",down
7_2,GRAMONT,475,"7, 23, 27, 47,",down
7_3,PARCUL CAROL I,3687,"7, 47,",down
7_4,AUTOGARA FILARET,2370,"7, 47,",down
7_5,SOSEAUA VIILOR,1451,"7, 47,",down
7_6,STEFAN HEPITES,349,"1,  7, 11, 25,",down
7_7,PIATA EROII REVOLUTIEI,350,"1,  7, 11, 25,",down
7_8,SURA MARE,252,"7, 11, 25,",down
7_9,MUZEUL BACOVIA,253,"7, 11, 25,",down
7_10,PIATA PROGRESUL,254,"7, 11, 25,",down
7_11,TOPORASI,255,"7, 11, 25,",down
7_12,DRUMUL GAZARULUI,256,"7, 11, 25,",down
7_13,CIMITIRUL EVREIESC,257,"7, 11, 25,",down
7_14,LUICA,2915,"7, 11, 25,",down
7_15,ANGHEL NUTU,991,"4,  7, 25,",down
7_16,CAP. RADUCANU CRISTEA,382,"4,  7, 25,",down
7_17,C.F.R. PROGRESUL,383,"4,  7, 25,",down
8_0,DEPOUL MILITARI,420,"8, 25, 35,",up
8_1,INSCUT,422,"8, 25, 35,",up
8_2,S.C. VEST,423,"8, 25, 35,",up
8_3,URBIS,425,"8, 25, 35,",up
8_4,CESAROM,426,"8, 25, 35,",up
8_5,C.F.R. COTROCENI,2356,"8, 25, 35,",up
8_6,VALEA CASCADELOR,4325,"8, 25, 35,",up
8_7,RADOX,3512,"8, 25, 35,",up
8_8,VALEA OLTULUI,2353,"8, 25, 35,",up
8_9,FRIGOCOM,2352,"8, 25, 35,",up
8_10,ROMANCIERILOR,2351,"8, 25, 35,",up
8_11,COMPASULUI,3304,"8, 25, 35,",up
8_12,BRASOV,2350,"8, 25, 35,",up
8_13,SERGENT MOISE,893,"8, 25, 35,",up
8_14,SIBIU,2385,"8, 25, 35,",up
8_15,BD. VASILE MILEA,2386,"8, 25, 35,",up
8_16,PIATA DANNY HUWE,327,"1,  8, 11, 25,",up
8_17,APRODEX,343,"1,  8, 11, 25,",up
8_18,CALEA 13 SEPTEMBRIE,344,"1,  8, 11, 25,",up
8_19,INOX,345,"1,  8, 11, 25, 47,",up
8_20,SOSEAUA PROGRESULUI,476,"8, 23, 32,",up
8_21,CALEA FERENTARI,97,"8, 23, 32,",up
8_22,SOSEAUA SALAJ,307,"8, 23,",up
8_23,CIBINULUI,308,"8, 23,",up
8_24,ARMISTITIULUI,309,"8, 23,",up
8_25,SULITEI,1345,"8, 23,",up
8_26,PIATA FERENTARI,310,"8, 23,",up
8_27,VADUL NOU,556,"8, 23,",up
8_28,VALTOAREI,557,"8, 23,",up
8_29,ZETARILOR,558,"8, 23,",up
8_0,ZETARILOR,559,"8, 23,",down
8_1,VALTOAREI,560,"8, 23,",down
8_2,VADUL NOU,561,"8, 23,",down
8_3,PIATA FERENTARI,280,"8, 23,",down
8_4,SULITEI,1343,"8, 23,",down
8_5,ARMISTITIULUI,281,"8, 23,",down
8_6,CIBINULUI,282,"8, 23,",down
8_7,SOSEAUA SALAJ,283,"8, 23,",down
8_8,CALEA FERENTARI,52,"8, 23, 32,",down
8_9,CALEA RAHOVEI,328,"1, 8, 11, 25, 47,",down
8_10,INOX,331,"1, 8, 11, 25, 47,",down
8_11,CALEA 13 SEPTEMBRIE,330,"1, 8, 11, 25,",down
8_12,APRODEX,54,"1, 8, 11, 25,",down
8_13,PIATA DANNY HUWE,2315,"1, 8, 11, 25,",down
8_14,BD. VASILE MILEA,2308,"1, 8, 11, 25,",down
8_15,SIBIU,585,"8, 25, 35,",down
8_16,SERGENT MOISE,2387,"8, 25, 35,",down
8_17,BRASOV,885,"8, 25, 35,",down
8_18,COMPASULUI,3305,"8, 25, 35,",down
8_19,ROMANCIERILOR,2344,"8, 25, 35,",down
8_20,FRIGOCOM,2345,"8, 25, 35,",down
8_21,VALEA OLTULUI,2346,"8, 25, 35,",down
8_22,RADOX,3513,"8, 25, 35,",down
8_23,VALEA CASCADELOR,4324,"8, 25, 35,",down
8_24,C.F.R. COTROCENI,2349,"8, 25, 35,",down
8_25,CESAROM,413,"8, 25, 35,",down
8_26,URBIS,415,"8, 25, 35,",down
8_27,S.C. VEST,417,"8, 25, 35,",down
8_28,INSCUT,418,"8, 25, 35,",down
8_29,DEPOUL MILITARI,419,"8, 25, 35,",down
11_0,ZETARILOR,4486,"4, 11,",up
11_1,BACIULUI,263,"4, 11,",up
11_2,CIMITIRUL PROGRESUL,264,"4, 11,",up
11_3,SOSEAUA GIURGIULUI,265,"4, 11,",up
11_4,CIMITIRUL EVREIESC,266,"7, 11, 25,",up
11_5,DRUMUL GAZARULUI,267,"7, 11, 25,",up
11_6,TOPORASI,268,"7, 11, 25,",up
11_7,PIATA PROGRESUL,269,"7, 11, 25,",up
11_8,MUZEUL BACOVIA,270,"7, 11, 25,",up
11_9,SURA MARE,271,"1,  7, 11, 25,",up
11_10,PIATA EROII REVOLUTIEI,2358,"1, 7, 11, 25,",up
11_11,STEFAN HEPITES,300,"1, 7, 11, 25,",up
11_12,DR. CONSTANTIN ISTRATI,3100,"1, 7, 11, 25,",up
11_13,SPATARUL PREDA,329,"1, 11, 25, 47,",up
11_14,CALEA RAHOVEI,328,"1, 8, 11, 25, 47,",up
11_15,INOX,331,"1, 8, 11, 25, 47,",up
11_16,CALEA 13 SEPTEMBRIE,330,"1, 8, 11, 25,",up
11_17,APRODEX,54,"1, 8, 11, 25,",up
11_18,PIATA DANNY HUWE,2315,"1, 8, 11, 25,",up
11_19,BD. VASILE MILEA,2308,"1, 8, 11, 25,",up
11_20,BD. IULIU MANIU,2309,"1, 11, 35,",up
11_21,POD GROZAVESTI,2310,"1, 11, 35,",up
11_22,CALEA PLEVNEI,2311,"11, 35,",up
11_23,SPITALUL PANAIT SARBU,66,"11, 44,",up
11_24,PASAJ GRANT,67,"11, 44,",up
11_25,CIMITIRUL CALVIN,68,"11, 44,",up
11_26,GEORGE VALSAN,69,"11, 44,",up
11_27,BD. CONSTRUCTORILOR,70,"11, 44,",up
11_28,GODENI,71,"11, 44,",up
11_29,PIATA GIULESTI,72,"11, 44,",up
11_30,COPSA MICA,73,"11, 44,",up
11_31,INSTITUTUL PASTEUR,74,"11, 44,",up
11_32,DEPOUL GIULESTI,1311,"11, 44,",up
11_33,CARTIER 16 FEBRUARIE,75,"11, 44,",up
11_0,CARTIER 16 FEBRUARIE,76,"11, 44,",down
11_1,DEPOUL GIULESTI,1314,"11, 44,",down
11_2,INSTITUTUL PASTEUR,77,"11, 44,",down
11_3,COPSA MICA,78,"11, 44,",down
11_4,PIATA GIULESTI,79,"11, 44,",down
11_5,GODENI,80,"11, 44,",down
11_6,BD. CONSTRUCTORILOR,81,"11, 44,",down
11_7,GEORGE VALSAN,82,"11, 44,",down
11_8,CIMITIRUL CALVIN,83,"11, 44,",down
11_9,PASAJ GRANT,84,"11, 44,",down
11_10,SPITALUL PANAIT SARBU,85,"11, 44,",down
11_11,CALEA PLEVNEI,4258,"11, 35,",down
11_12,POD GROZAVESTI,2312,"1, 11, 35,",down
11_13,BD. IULIU MANIU,2313,"1, 11, 35,",down
11_14,BD. TIMISOARA,2314,"1, 11, 35,",down
11_15,PIATA DANNY HUWE,327,"1,  8, 11, 25,",down
11_16,APRODEX,343,"1,  8, 11, 25,",down
11_17,CALEA 13 SEPTEMBRIE,344,"1,  8, 11, 25,",down
11_18,INOX,345,"1,  8, 11, 25, 47,",down
11_19,CALEA RAHOVEI,346,"1, 11, 25, 47,",down
11_20,SPATARUL PREDA,347,"1, 11, 25, 47,",down
11_21,SOSEAUA VIILOR,2683,"1, 11, 25, 47,",down
11_22,STEFAN HEPITES,349,"1,  7, 11, 25,",down
11_23,PIATA EROII REVOLUTIEI,350,"1,  7, 11, 25,",down
11_24,SURA MARE,252,"7, 11, 25,",down
11_25,MUZEUL BACOVIA,253,"7, 11, 25,",down
11_26,PIATA PROGRESUL,254,"7, 11, 25,",down
11_27,TOPORASI,255,"7, 11, 25,",down
11_28,DRUMUL GAZARULUI,256,"7, 11, 25,",down
11_29,CIMITIRUL EVREIESC,257,"7, 11, 25,",down
11_30,LUICA,2915,"7, 11, 25,",down
11_31,CIMITIRUL PROGRESUL,259,"4, 11,",down
11_32,BACIULUI,260,"4, 11,",down
11_33,ZETARILOR,3028,"4, 11,",down
14_0,PIATA SF. VINERI,4025,"14, 40, 56,",up
14_1,ALEXANDRU SIHLEANU,440,"14, 40, 56,",up
14_2,HALA TRAIAN,3650,"14, 40, 56,",up
14_3,BD. PACHE PROTOPOPESCU,442,"14,",up
14_4,HOREI,467,"14,",up
14_5,SOSEAUA MIHAI BRAVU,468,"14,",up
14_6,SOSEAUA PANTELIMON,13,"14,",up
14_7,CIMITIRUL ARMENESC,994,"14, 36,",up
14_8,SOSEAUA IANCULUI,469,"14, 36,",up
14_9,BD. CHISINAU,449,"14, 36, 46,",up
14_10,PICTOR HARLESCU,2383,"14, 36, 46,",up
14_11,BD. BASARABIA,2384,"14, 36, 46,",up
14_12,BAIA DE ARAMA,566,"14, 36, 40, 46, 56,",up
14_13,LUCRETIU PATRASCANU,567,"14, 36, 40, 46, 56,",up
14_14,BD. 1 DECEMBRIE 1918,890,"14, 36, 40, 46, 56,",up
14_15,BARAJUL IEZERU,2985,"14, 40,",up
14_16,BARAJUL ROVINARI,2986,"14, 40,",up
14_17,FAUR POARTA 4,3044,"14, 40,",up
